"trial","subID","cond","dim","resp","corr","acc","rt"
3,164636,"relational","shape",0,1,0,1524
4,164636,"relational","texture",0,0,1,2271
5,164636,"control","shape",1,1,1,1827
6,164636,"control","texture",1,1,1,1576
7,164636,"control","shape",0,0,1,1819
8,164636,"control","texture",0,0,1,1467
9,164636,"control","texture",1,1,1,1556
10,164636,"relational","shape",0,0,1,1877
11,164636,"relational","texture",0,0,1,1789
12,164636,"relational","texture",1,1,1,1585
13,164636,"relational","shape",0,0,1,1690
14,164636,"control","shape",0,1,0,1557
15,164636,"control","shape",0,0,1,1281
16,164636,"control","texture",0,0,1,1545
17,164636,"control","texture",1,1,1,1593
18,164636,"control","texture",1,1,1,1451
19,164636,"control","shape",1,0,0,1632
20,164636,"control","texture",0,0,1,1777
21,164636,"control","shape",1,1,1,1122
22,164636,"control","shape",0,0,1,1096
23,164636,"control","texture",1,1,1,1353
24,164636,"relational","texture",0,0,1,1705
25,164636,"relational","texture",0,1,0,1636
26,164636,"relational","shape",1,1,1,1919
27,164636,"relational","texture",0,0,1,2442
1,166438,"relational","texture",1,0,0,1026
2,166438,"relational","texture",1,1,1,627
3,166438,"relational","shape",1,1,1,1274
4,166438,"relational","texture",1,0,0,1478
5,166438,"control","shape",0,1,0,1173
6,166438,"control","texture",1,1,1,2157
7,166438,"control","shape",0,0,1,2290
8,166438,"control","texture",0,0,1,1859
9,166438,"control","texture",1,1,1,1747
10,166438,"relational","shape",0,0,1,2617
11,166438,"relational","texture",0,0,1,1701
12,166438,"relational","texture",0,1,0,1238
13,166438,"relational","shape",0,0,1,1696
14,166438,"control","shape",1,1,1,1311
15,166438,"control","shape",0,0,1,1215
16,166438,"control","texture",0,0,1,1543
17,166438,"control","texture",1,1,1,1095
18,166438,"control","texture",1,1,1,2420
19,166438,"control","shape",0,0,1,2012
20,166438,"control","texture",0,0,1,1371
21,166438,"control","shape",1,1,1,1255
22,166438,"control","shape",0,0,1,1133
23,166438,"control","texture",1,1,1,981
24,166438,"relational","texture",0,0,1,1410
25,166438,"relational","texture",0,1,0,1358
26,166438,"relational","shape",0,1,0,1996
27,166438,"relational","texture",0,0,1,1866
1,169040,"relational","texture",0,0,1,1924
2,169040,"relational","texture",0,1,0,2028
3,169040,"relational","shape",1,1,1,1407
4,169040,"relational","texture",0,0,1,2122
5,169040,"control","shape",0,1,0,1817
6,169040,"control","texture",0,1,0,1854
7,169040,"control","shape",0,0,0,0
8,169040,"control","texture",0,0,0,0
9,169040,"control","texture",1,1,1,1310
10,169040,"relational","shape",0,0,1,1672
11,169040,"relational","texture",0,0,1,2354
12,169040,"relational","texture",1,1,1,2290
13,169040,"relational","shape",0,0,1,2242
14,169040,"control","shape",0,1,0,1266
15,169040,"control","shape",1,0,0,2522
16,169040,"control","texture",0,0,0,0
17,169040,"control","texture",1,1,1,1872
18,169040,"control","texture",1,1,1,1256
19,169040,"control","shape",1,0,0,2386
20,169040,"control","texture",0,0,0,0
21,169040,"control","shape",0,1,0,1580
22,169040,"control","shape",1,0,0,2699
23,169040,"control","texture",0,1,0,0
24,169040,"relational","texture",0,0,1,1933
25,169040,"relational","texture",0,1,0,2326
26,169040,"relational","shape",0,1,0,3338
27,169040,"relational","texture",0,0,0,0
1,174841,"relational","texture",1,0,0,1905
2,174841,"relational","texture",1,1,1,1641
3,174841,"relational","shape",1,1,1,2264
4,174841,"relational","texture",1,0,0,1753
5,174841,"control","shape",1,1,1,1539
6,174841,"control","texture",1,1,1,1205
7,174841,"control","shape",0,0,1,1224
8,174841,"control","texture",0,0,1,1386
9,174841,"control","texture",1,1,1,839
10,174841,"relational","shape",0,0,1,1838
11,174841,"relational","texture",0,0,1,2106
12,174841,"relational","texture",0,1,0,1303
13,174841,"relational","shape",0,0,1,2219
14,174841,"control","shape",1,1,1,1323
15,174841,"control","shape",0,0,1,1083
16,174841,"control","texture",0,0,1,1397
17,174841,"control","texture",1,1,1,1068
18,174841,"control","texture",1,1,1,1053
19,174841,"control","shape",1,0,0,2661
20,174841,"control","texture",0,0,1,1403
21,174841,"control","shape",1,1,1,1316
22,174841,"control","shape",0,0,1,949
23,174841,"control","texture",1,1,1,922
24,174841,"relational","texture",0,0,1,1525
25,174841,"relational","texture",1,1,1,2073
26,174841,"relational","shape",0,1,0,1835
27,174841,"relational","texture",0,0,1,1287
1,175237,"relational","texture",1,0,0,1297
2,175237,"relational","texture",1,1,1,1244
3,175237,"relational","shape",1,1,1,1504
4,175237,"relational","texture",1,0,0,1646
5,175237,"control","shape",1,1,1,987
6,175237,"control","texture",1,1,1,1151
7,175237,"control","shape",0,0,1,1139
8,175237,"control","texture",0,0,1,1001
9,175237,"control","texture",1,1,1,864
10,175237,"relational","shape",0,0,1,1607
11,175237,"relational","texture",0,0,1,1513
12,175237,"relational","texture",0,1,0,1467
13,175237,"relational","shape",0,0,1,1395
14,175237,"control","shape",1,1,1,1067
15,175237,"control","shape",0,0,1,973
16,175237,"control","texture",0,0,1,1135
17,175237,"control","texture",0,1,0,1348
18,175237,"control","texture",1,1,1,1034
19,175237,"control","shape",0,0,1,1067
20,175237,"control","texture",0,0,1,970
21,175237,"control","shape",1,1,1,725
22,175237,"control","shape",0,0,1,1286
23,175237,"control","texture",1,1,1,1230
24,175237,"relational","texture",0,0,1,1391
25,175237,"relational","texture",0,1,0,1587
26,175237,"relational","shape",0,1,0,1440
27,175237,"relational","texture",1,0,0,1567
1,175540,"relational","texture",0,0,1,1841
2,175540,"relational","texture",1,1,1,2391
3,175540,"relational","shape",1,1,1,1922
4,175540,"relational","texture",0,0,1,2233
5,175540,"control","shape",1,1,1,1695
6,175540,"control","texture",0,1,0,1615
7,175540,"control","shape",0,0,1,1819
